0HR,15MIN,30MIN,1HR,2HR,4HR,6HR,8HR,12HR,16HR,20HR,24HR,UNSYN
ZBED5,1.2632,-0.7793,0.078559,-0.2074,-0.82015,-0.57505,-0.94271,-1.0653,-1.3104,0.73217,1.0181,1.1815,1.4266
ANGEL2,1.5444,-0.21875,-0.105,0.29313,-0.105,-0.90125,-1.5269,-0.44625,-1.6406,0.065625,0.805,1.4875,0.74813
H05758,1.0611,-0.3934,-0.29956,-0.67491,-0.018046,-0.11188,-0.90951,-0.90951,-1.6602,0.45114,0.87342,2.1402,0.45114
PHF3,0.32761,0.48248,-0.29187,0.13402,-0.52417,-1.2985,-0.91134,-1.1824,-1.1824,0.90836,1.1794,1.8763,0.48248
ADGRL2,0.62548,-0.19195,-0.19195,1.0987,0.6685,-1.5256,-1.0954,-1.3105,-1.3105,1.0557,0.62548,1.0987,0.45339
CLCN3,0.21415,-0.18355,-0.26309,-0.30286,0.77092,-1.2971,-1.0585,-0.93918,-1.138,0.5323,1.6061,1.8049,0.25391
TIA1,0.53558,0.53558,0.17187,-0.19185,-0.13989,-1.283,-1.7506,-0.76341,-1.0232,1.315,0.58754,1.6787,0.32775
HCGVIII-1,0.11991,1.1455,0.53013,0.20195,-0.0031555,-1.7671,-1.562,-0.57746,-0.98769,0.44809,1.1044,1.4326,-0.0852
R70902,0.75405,0.42573,0.42573,0.42573,-0.98135,-1.9663,-0.69993,-0.55922,-1.3566,1.0355,0.94166,1.1293,0.42573
CDKN1B,1.6049,0.1395989,0.76234,-0.080246,-0.44136,-0.96296,-1.1235,-1.2839,-1.0432,0.12037,0.84259,1.7253,-0.12037
KBTBD7,1.7105,-0.012046,0.77092,0.77092,-0.58622,-1.2648,-1.056,-1.4736,-1.056,0.92751,0.19675,0.35334,0.71872
R43550,1.8131,-0.42156,0.48295,0.32333,-0.90041,-0.794,0.27012,-1.7517,-1.2729,0.64257,0.21692,1.2278,0.16371
H92076,1.1299,0.19615,0.59121,0.84262,0.33981,-1.1686,-1.1686,-1.4559,-1.4559,0.69896,1.094,0.8067,-0.45032
HSF2,0.71802,0.34164,0.37927,0.52983,0.19108,-0.71222,-1.0886,-1.4273,-1.6155,0.49219,1.5837,1.2073,-0.59931
R72963,0.88555,0.41999,1.0548,1.1818,0.92788,-0.46882,-0.97671,-1.5692,-1.7385,-0.0032557,0.16604,0.75858,-0.63812
SIAH1,0.50438,-0.035115,1.4589,1.0854,0.047884,-0.78211,-1.0311,-1.2386,-1.6121,0.0063846,0.37988,1.5419,-0.32561
KLF12,1.4646,0.31763,1.3729,1.0517,0.08823,-1.1505,-1.2882,-1.2882,-1.1046,0.31763,0.40939,0.45527,-0.64584
WW45,0.61958,0.54954,1.7402,1.0048,0.86472,-0.88627,-1.3415,-1.0964,-1.3415,-0.010775,-0.22089,0.72464,-0.60611
NAA16,0.24926,-1.0763,2.0536,0.43337,0.10197,-0.92906,-1.0027,-1.2605,-0.52401,-0.30308,0.83842,1.3539,0.065147
H29270,0.5895,1.0345,-0.44878,-0.27574,0.19397,-0.67127,-1.1163,-1.3635,-1.4623,-0.077966,1.0592,1.6031,0.9356
R17893,0.56283,0.38499,-0.55502,-0.14853,0.20715,-0.37718,-1.1139,-1.4696,-1.2918,-0.19934,1.4012,1.8331,0.76608
CDKN2C,0.24273,0.47865,-0.2881,-0.022685,0.74406,-0.75994,-1.2613,-1.4677,-1.2023,0.036296,0.921,2.0416,0.53763
SSX2IP,0.58503,-0.13643,0.79546,0.6151,-0.16649,-0.61741,-1.2788,-1.4892,-1.5794,0.19424,0.70528,1.6973,0.67522
TFDP2,0.67819,0.71171,-0.025787,0.41001,0.041259,-0.86386,-1.2661,-1.4337,-1.6014,0.007736,1.4492,0.91285,0.9799
OXR1,0.85077,0.31024,-0.31344,0.10235,0.68445,-0.9787,-1.3945,-1.0203,-1.7271,0.68445,0.68445,1.5576,0.55972
HNMT,0.40327,0.95929,-0.5102,0.085542,0.80043,-1.1457,-1.4237,-0.94707,-1.5825,0.44298,0.60185,1.0387,1.277
ICE2,0.76214,0.28079,0.040112,0.20056,0.080225,-1.0028,-1.6847,-1.0028,-1.2836,0.080225,0.6418,1.7649,1.1231
KIAA0923,0.59551,0.56882,-0.41891,-0.28543,-0.25874,-0.44561,-1.0062,-1.3266,-1.3532,0.30186,0.40864,0.99594,2.2239
RFX5,1.6012,0.58257,-0.25892,-0.037475,0.18397,-0.25892,-1.189,-1.4104,-1.189,-0.39179,0.051103,0.36113,1.9555
MRE11A,1.8623,0.016077,-0.71545,-0.2626,0.39926,-1.029,-1.0638,-1.1335,-0.95929,0.43409,0.95661,1.514,-0.018757
NBPF1,1.7714,0.98051,-0.78727,-0.60119,0.70138,-0.46162,-1.0199,-1.4386,-1.1594,0.050099,0.42226,1.2131,0.32922
NBPF14,1.3278,1.0056,-0.97371,-0.053112,0.86749,-0.74356,-1.1118,-1.2499,-1.342,0.22307,0.31513,1.4659,0.2691
STK38,1.2919,-0.33175,-0.68693,0.1249,0.58154,-0.63619,-1.2958,-1.651,-1.0421,0.7845,0.68302,0.93672,1.2411
T98859,1.7468,0.062805,-0.60058,-0.65161,0.62413,-0.75366,-1.0088,-1.315,-1.2129,0.9303,0.26692,0.62413,1.2875
ROR2,2.4359,0.42987,-0.71646,0.095527,0.23882,-0.38211,-1.2419,-1.1941,-1.1941,0.38211,0.047764,0.47764,0.62093
CEBPG,0.62317,0.21607,-0.55741,0.70459,0.86743,-0.31315,-1.4937,-1.5344,-1.2902,1.8038,0.093946,0.37891,0.50104
CEP57,-0.5405,0.91956,-0.49488,0.69142,-0.10705,-0.24393,-1.2021,-1.2477,-1.4074,0.62298,0.0070195,1.1933,1.8093
PLSCR1,0.58129,0.77605,-0.54833,-0.19776,-0.66518,-0.58728,-1.0158,-1.2495,-1.0158,0.62024,0.54233,0.42548,2.3341
DDX17,-0.0086453,0.25359,2.6887,0.77807,-0.87029,-0.49566,-0.34581,-1.5072,-0.23342,0.29106,-0.046108,0.21613,-0.72044
EFCAB7,0.36157,-0.048783,0.36157,1.145,-0.49644,1.145,-1.541,-1.7275,-1.0187,0.51079,-0.30992,1.4434,0.17505
SNX29,1.5564,-0.27399,1.0122,1.2596,-0.57082,0.71542,-0.7687,-1.956,-1.115,0.36913,-0.42241,0.27019,-0.076109
ARL14EP,0.66006,1.4043,-0.39065,0.17849,0.7914,-0.43443,-0.39065,-1.0911,-1.31,0.52872,-0.040412,1.667,-1.5727
UACA,-0.059804,0.78526,0.24442,0.10921,1.0219,-0.46543,-0.97247,-1.0739,-1.3105,0.10921,0.98807,1.9007,-1.2767
PEAK1,1.554,0.51163,-0.67962,0.26345,1.3554,-0.62999,-0.58035,-1.6227,-0.82853,0.26345,0.71017,0.90871,-1.2256
R51896,0.47532,1.0205,1.9656,0.18453,0.80245,-0.46973,-1.3421,-1.4148,-0.36068,0.075492,-0.0699,0.47532,-1.3421
GOPC,0.69851,0.87744,0.78798,0.65378,1.1011,-0.95658,-1.8065,-0.95658,-0.33033,0.43012,0.51958,0.56431,-1.5828
ATRX,0.44163,0.71794,0.71794,0.38022,1.8846,-0.32591,-1.0627,-0.93993,-1.554,-0.44871,0.44163,0.90215,-1.1548
KIAA0355,1.2355,0.59133,0.54839,-0.13875,1.665,-1.2983,-1.3842,-0.56821,-1.3842,0.3766,0.4625,0.59133,-0.69705
NARS,1.1172,0.76787,-0.030715,0.019197,-0.33018,-0.33018,-0.57974,-1.578,-0.77938,-1.1288,0.56822,2.2153,0.069108
ATG4C,0.65615,-0.68263,0.54139,1.0769,-0.14712,-0.79738,-1.7536,-1.6006,-0.64438,0.65615,0.65615,1.0387,1.0004
YYY,1.3899,-0.1463,0.95097,0.54864,-0.84124,-0.76809,-1.3167,-1.1704,-1.207,0.29261,0.80467,1.4996,-0.036576
NR1D2,0.67985,0.70696,0.57141,0.57141,1.1949,-0.54013,-1.4348,-1.7601,-1.5432,0.11053,0.59852,0.86962,-0.025025
N33510,1.1282,1.2619,0.69391,0.62709,0.42662,-1.0434,-1.578,-1.5446,-1.2773,0.22616,0.19275,0.42662,0.46003
W73942,0.7233,0.896025,0.79315,0.897935,0.90083,-0.812555,-1.66845,-1.4598,-1.14545,-0.030675,-0.3978945,0.47593,0.82776
FOXF2,0.32461,1.2784,0.35351,0.49803,0.81596,-0.54249,-1.6408,-1.4963,-1.4963,-0.28236,0.49803,0.81596,0.87377
ZFP36L2,0.7831,0.61455,1.5921,0.61455,1.3562,-1.1046,-1.5766,-1.2732,-0.86867,-0.19448,-0.05964,0.31116,-0.19448
NSL1,-0.031416,-0.1174,0.8284,0.29101,-0.35385,-1.1062,-1.4071,-0.93422,-1.0632,0.52746,0.57045,0.57045,2.2256
PPM1B,0.60729,0.60729,1.5665,-0.093647,0.23837,-0.97904,-1.1635,-1.2004,-1.1635,0.23837,-0.49945,0.017027,1.8247
LRRC32,1.5872,-0.27366,-0.21892,1.7514,0.71151,-1.2041,0.16419,-1.423,-1.2588,0.43785,0.16419,-0.65677,0.21892
TSTD2,1.1556,0.33301,-0.57612,0.54947,-0.27307,-1.3121,-0.40295,-1.009,-1.0956,-0.1432,0.073263,0.33301,2.3677
IFIT1,0.37774,0.51905,-0.15218,1.1903,0.23643,-1.53,-0.96473,-0.82342,-1.4947,0.66037,0.059786,0.059786,1.8615
PSPH,0.48076,-0.27472,1.6483,1.923,-0.1717,-0.54944,-1.0645,-1.2362,-1.3049,0.04396707,0.06868,0.72114,-0.24038
KIAA1462,0.89505,0.017607,1.8488,1.658,0.13206,-0.17314,-0.63093,-1.2032,-1.5465,-0.63093,-0.40204,0.3228,-0.28759
DAPK1,2.9083,-0.31635,-0.36309,0.61833,0.43139,-0.55002,-0.9239,-0.7837,-0.97063,0.010785,-0.12942,-0.035949,0.10425
ZRANB1,2.719,-0.14031,-0.73188,0.30337,1.0428,-0.23891,-0.83048,-0.92908,-1.0277,-0.23891,-0.2882,0.20478,0.15548
PTGFRN,1.0612,1.8727,-0.35893,-0.35893,0.19897,1.1119,0.60472,-0.71396,-0.96756,-1.069,0.24969,0.046817,-1.6776
REEP5,1.4502,0.34772,-1.1958,-0.5343,-0.36892,1.4502,0.29259,-1.4715,-0.58943,1.4502,0.23747,-0.038164,-1.0304
ASPH,0.46965,1.5753,-0.7322,0.03698,0.99846,1.1427,0.22928,-1.5975,-0.15532,0.13313,-0.25146,0.085054,-1.9341
ITFG1,1.1096,-0.70685,-0.54658,0.41507,-0.86713,1.3233,-0.27945,-1.1877,-0.49315,0.094521,1.6973,0.84247,-1.4014
CPT1A,0.33581,-0.013432,0.99063,0.99063,-0.44998,1.2089,-0.6246,-2.0216,-0.23171,-0.40633,0.99063,0.68504,-1.454
T85042,-0.091796,-0.14152,1.0518,-1.0365,0.85294,0.40543,-0.091796,-1.5835,0.95238,-0.88736,0.80321,1.3004,-1.5338
FBN1,1.4684,0.54551,-0.71738,-0.3288,0.10835,0.39979,-0.52309,-1.4945,0.15693,1.1284,0.69122,0.59408,-2.0288
R55334,0.48554,-0.5338,0.32872,-0.25936,-0.80824,-0.72982,0.25031,-1.1611,-1.0043,-0.024126,1.8185,2.0538,-0.41618
PBX3,-0.14774,-0.42882,0.48467,-0.03063,-0.28828,-0.38197,-0.45224,-1.272,-0.9207,0.13333,1.1405,2.663,-0.49909
EPS15,0.13611,0.1056,0.075096,0.77677,0.22763,-0.13846,-0.38252,-0.93166,-1.4503,-0.59607,2.3632,0.95982,-1.1452
PLA2R1,0.083641,-0.102,0.1632,-0.02244,0.2958,-0.12852,-0.60589,-0.57937,-0.89761,2.9744,0.11016,-0.075481,-1.2159
PCSK6,0.81504,0.40577,-0.45824,0.90599,-2.3227,1.3153,0.087451,-0.91299,-0.73109,0.86052,-0.50372,-0.23087,0.76957
W88694,0.16108,0.29403,0.26079,-0.70312,-1.7003,-1.0355,0.12784,-0.038352,-1.1352,0.89233,0.094602,0.55994,2.2219
ZNF616,0.75843,0.31695,-0.026413,-1.7432,-1.547,0.31695,1.6904,-0.22262,-0.56599,1.0527,-0.32073,-0.66409,0.95464
ANGPTL2,-1.3472,0.86193,2.1601,0.63418,0.33811,0.56586,0.48615,-0.037666,0.15592,-0.96003,-0.94865,-1.0853,-0.82339
PDGFRB,-1.336,0.17791,2.4971,1.1249,0.44204,0.40339,0.042619,-0.10556,-0.67892,-0.58873,-0.70469,-0.9495,-0.32459
GNAI2,-0.023549,-1.2481,0.89486,2.3643,0.40504,0.55811,-0.20723,-0.42152,-1.3705,0.28259,-0.20723,0.12952,-1.1562
MEG3,0.38064,-0.036689,2.2586,1.6625,-0.42421,-0.036689,0.5595,-0.54345,-1.0204,-0.51364,-0.60307,-0.60307,-1.08
R37986,0.326,0.054333,2.1461,1.3583,-0.46183,0.92365,-0.081499,-1.2496,-1.0323,-0.38033,0.07161839,-0.40749,-1.1953
CYP2C9,0.5032,0.072165,1.2892,2.1259,-0.35887,1.1117,-0.0039008,-1.1195,-0.89134,-0.7392,-0.40959,-0.48565,-1.0942
FADS2,1.5151,0.44745,1.4415,1.2574,-0.067967,0.37382,0.59471,-0.73064,-1.062,-0.65701,-0.91472,-1.062,-1.1356
ELANE,0.51241,-0.54159,1.8404,2.1988,-0.30971,0.42809,-0.30971,-0.66807,-1.0475,-0.47835,-0.33079,-0.39403,-0.89995
W86869,0.63053,0.53026,1.9089,1.0316,0.45506,0.45506,0.22946,0.10412,-0.52255,-1.049,-1.2495,-1.3498,-1.1743
AA055520,0.12051,0.83745,2.0324,0.8109,0.25328,0.20017,0.35949,0.35949,-0.038809,-1.1275,-1.1541,-1.393,-1.2603
C1R,0.40626,0.53912,2.4989,0.73842,0.20696,-0.058767,-0.091983,0.10731,-0.091983,-0.88917,-1.0553,-1.3874,-0.92239
AA004769,0.34284,0.76331,2.0808,1.1557,-0.27384,0.31481,0.59512,-0.077624,-0.69431,-0.86249,-1.2269,-1.311,-0.80643
L3MBTL2,0.075294,0.18405,2.5495,1.2173,0.18405,0.29281,-0.033464,-0.41412,-0.57725,-0.93072,-1.0395,-1.121,-0.38693
LPL,-0.3317,0.88452,1.9349,0.85688,0.16585,0.11057,0.52518,0.44226,-0.82924,0.19349,-1.465,-1.5203,-0.96744
AA026215,-0.053117,0.61513,1.6843,0.72651,0.10281,0.50376,0.77106,1.0606,-0.52089,-1.1446,-1.1669,-1.3228,-1.256
AA026313,0.80411,0.74333,2.2323,0.561,0.22674,-0.04675,-0.47218,0.044413,0.3179,-1.2926,-0.68489,-1.1103,-1.323
NUPR1,0.4588,0.9676,2.1831,0.5436,0.57186,0.11959,0.40226,-0.53055,-0.30441,-1.0959,-0.92629,-1.1807,-1.209
AA039465,1.1847,0.91636,0.64806,1.292,1.3188,0.5944,-0.26418,-0.72029,-1.0423,-0.9886,-0.90811,-0.88127,-1.1496
PAPPA,0.75021,0.44115,1.231,1.437,0.64719,1.0936,0.13208,-0.65776,-1.1729,-0.45171,-0.96682,-1.2415,-1.2415
PSAT1,1.057,1.4194,1.51,1.0268,0.48319,0.1812,-0.24159,-0.51339,-1.1174,-1.1174,-1.057,-0.84558,-0.78518
FDFT1,1.0548,0.99237,1.5859,0.99237,0.27392,0.46135,0.3364,-0.38205,-0.91308,-1.1005,-1.2567,-1.2879,-0.75689
CYP51A1,0.9808,1.0892,1.0169,0.83632,1.0892,0.8002,0.077798,-0.39177,-0.86133,-1.1142,-1.2587,-1.1503,-1.1142
AA045738,0.49862,1.5186,0.69605,1.2554,1.2225,-0.027842,0.26829,-0.15946,-0.88335,-1.2124,-1.015,-0.78463,-1.3769
DPYSL3,-0.10575,1.0846,1.3026,1.8726,1.0679,0.12897,-0.35724,-0.64226,-0.79315,-0.89374,-1.0111,-1.0446,-0.60873
IDI1,0.368276667,0.42263,0.890783333,1.331733333,1.47611,1.037096667,0.016843333,-0.759166667,-0.965933333,-0.93595,-0.943076667,-0.8966,-1.04271
OXSR1,0.36974,0.22974,0.46307,1.4897,1.9097,0.92973,-0.096921,-0.75024,-1.1936,-0.98357,-0.9369,-0.72691,-0.70358
INSIG1,0.16205,-0.010626,0.2081,1.1521,2.499,0.80672,-0.18331,-0.49413,-0.83949,-0.80495,-0.83949,-0.851,-0.80495
TMTC1,0.062461,-0.055955,2.0248,2.2109,-0.1067,0.13013,-0.22512,-0.49579,-0.4112,-0.88487,-0.83412,-0.83412,-0.58037
CCNL1,-0.42672,-0.1258,1.6404,2.3862,0.057365,0.22745,0.14895,0.070448,-0.85846,-0.81921,-0.89771,-0.96313,-0.4398
UGCG,0.063206,0.55622,2.6561,0.99445,0.13625,-0.6124,-0.4298,0.37362,-0.63066,-0.7037,-0.75848,-1.0506,-0.59414
SCD,0.37523,0.63391,2.1121,1.1513,0.39371,0.44914,0.061117,-0.086701,-0.71492,-1.0475,-1.1029,-1.1584,-1.066
APOD,-0.13085,0.5016,0.52341,1.1777,1.0032,0.69788,0.63246,1.1777,-0.52341,-1.025,-1.2867,-1.5048,-1.2431
PLPP3,-0.1873,-0.10111,-0.94148,-0.35968,0.15747,-0.53207,-1.1354,-0.57516,2.5493,1.5365,0.11437,-0.27349,-0.25194
AA021170,0.59835,-0.035953,0.83204,-1.6718,0.36466,0.56497,-0.13611,1.2327,1.0991,-0.002568,-0.40318,-2.1726,-0.26964
W67988,-0.39438,0.33194,-0.37302,-1.1634,1.2292,0.97282,1.1224,1.336,0.73783,-0.5012,-0.73618,-1.0353,-1.5266
NEDD9,-0.19259,-0.24624,-0.80064,-0.15683,1.721,1.7925,0.89831,0.96985,-0.67545,-0.81852,-0.99736,-0.94371,-0.55027
SMC2,-0.38369,-0.26363,-0.26363,-0.78754,-0.14357,-0.63473,-0.80937,-0.91851,-0.89668,0.2057,1.188,1.9957,1.7119
NUSAP1,-0.42054,-0.30393,-0.46856,-0.47542,-0.42054,-0.65377,-0.64691,-0.7498,-0.70864,-0.084425,0.80731,1.9391,2.1861
AA009547,-0.18648,0.03761,-0.65505,-0.32909,-0.49207,-0.57356,-1.0829,-1.0625,-0.75691,0.62841,0.97473,2.2582,1.2396
PRIM2,0.34808,0.40195,-0.54076,-0.83704,-0.082876,-0.99865,-1.2411,-1.1064,-0.78318,0.8329,1.6679,1.4255,0.9137
NUCKS1,0.33171,0.55531,0.14005,-0.56268,0.044228,-0.8821,-1.4571,-1.1057,-1.0099,-0.14743,0.81084,1.5136,1.7691
LBR,0.14231,-0.096401,-0.19586,-0.31522,-0.11629,-0.6136,-0.97166,-0.95177,-0.93188,0.22188,-0.036724,1.1568,2.7084
N54485,-0.28437,-0.10466,-0.74646,-0.51542,-0.040483,-0.69512,-0.60527,-0.69512,-0.45124,0.049369,0.37027,0.74251,2.976
CENPE,-0.48728,-0.38237,-0.54376,-0.40658,-0.11608,-0.78585,-0.68095,-0.67288,-0.76971,0.24705,0.81192,1.1428,2.6437
MELK,-0.39186,-0.37952,-0.55221,-0.28085,-0.28085,-0.7989,-1.0086,-0.56454,-0.7989,0.2002,1.0636,1.5323,2.2601
HAUS1,-0.16893,-0.47035,-0.29811,-0.12587,-0.10434,-0.81483,-1.0732,-0.578,-1.0517,0.54156,0.86451,0.64921,2.63
MSH2,-0.67203,-0.38848,-0.48044,-0.45745,-0.16624,-0.94025,-0.84063,-0.91726,-0.14325,0.45451,1.3435,2.4164,0.7917
W93536,-0.48174,0.029854,-0.040711,-0.78164,-0.35825,-1.1874,-1.1345,-0.71108,-0.23476,0.62966,1.7587,2.0057,0.50617
POLD3,-0.58709,0.073238,-0.95564,-0.66387,-0.52566,-0.8635,0.057882,-1.186,-0.23389,0.31894,1.8853,1.8699,0.81035
FAF1,-0.30735,-0.4054,-1.1653,-0.52796,-0.28284,-0.33186,-0.69955,-1.1408,-0.18479,1.5556,1.0899,2.0949,0.30546
ADAMTS1,0.36737,1.5672,0.53205,1.0732,-0.57368,-1.4206,-1.5618,-1.35,-0.55015,0.76731,0.53205,0.29679,0.32032
ARL4D,1.1368,0.87017,0.83209,-0.12013,0.26076,-1.5294,-1.2247,-1.6437,-1.0342,0.48929,0.48929,0.75591,0.71782
SLC38A2,0.47574,-0.26272,0.9065,0.10651,-0.078106,-1.4319,-1.5858,-1.0935,-0.93964,0.47574,1.1527,1.3373,0.93727
AA035262,0.44838,0.013384,-0.21861,-0.24761,-0.6246,-1.5526,-1.2336,-0.6536,-0.33461,0.76737,0.41938,0.94137,2.2753
CNAP1,-0.30371,0.4094,0.30505,0.4094,-0.094993,-0.65157,-1.1908,-1.3473,-0.96464,-0.52982,0.61812,2.2357,1.1051
AA029676,-0.52158,-0.30842,-0.66368,-0.63323,-0.48098,-0.87684,-0.86669,-0.82609,-0.31857,1.0314,1.4578,0.98069,2.0262
PCNA,-0.46715,-0.26407,-0.66055,-0.50583,-0.37045,-0.71858,-0.88297,-0.73792,-0.38979,1.2445,1.7957,-0.070667,2.0278
N55327,-0.39648,-0.24216,-0.91088,-0.72569,-0.61253,-0.76685,-0.69483,-0.77713,0.066476,0.34425,1.4348,1.0027,2.2784
ARRDC4,-0.33926,-0.41927,-0.55928,-0.61929,-0.7693,-0.93932,-0.94932,-0.58929,0.19079,1.0409,1.6209,2.121,0.21079
TOP2A,-0.59591,-0.396555,-0.32585,-0.52708,-0.484045,-0.73515,-0.61953,-0.62409,-0.576395,0.021054435,1.10755,2.53155,1.22445
CKAP2,-0.55296,-0.44114,-0.23879,-0.31867,-0.52101,-0.64348,-0.56893,-0.70737,-0.69672,-0.031129,0.48005,2.3703,1.8698
R13146,-0.62735,-0.51194,-0.16187,-0.31575,-0.49655,-0.64274,-0.63889,-0.77354,-0.6889,0.003551,0.71524,2.0963,2.0424
R10991,-0.55574,-0.518,-0.49399,-0.53172,-0.55574,-0.63464,-0.62434,-0.6758,-0.58318,0.16123,1.0669,2.1337,1.8113
H68297,-0.63408,-0.52129,-0.4226,-0.4508,-0.53069,-0.67638,-0.53069,-0.66228,-0.61529,0.094353,0.87919,2.1763,1.8943
HSPC150,-0.48101,-0.5669,-0.75587,-0.60985,-0.27486,-0.79023,-0.85036,-0.69575,-0.42947,0.66998,1.1768,1.6148,1.9928
CENPF,-0.51111,-0.44836,-0.66016,-0.4562,-0.50327,-0.69154,-0.69154,-0.44836,-0.36206,-0.22086,0.8774,2.2345,1.8815
RRM1,-0.65741,-0.62349,-0.66306,-0.62915,-0.51045,-0.62915,-0.65741,-0.65176,-0.42566,0.55219,1.1683,1.7335,1.9935
CCNA2,-0.71751,-0.47607,-0.44663,-0.73517,-0.34652,-0.73517,-0.72928,-0.76462,-0.39363,0.44844,1.2846,2.1326,1.479
R20345,-0.57997,-0.46457,-0.40302,-0.4915,-0.64537,-0.58382,-0.59536,-0.6069,-0.44149,0.28555,1.0164,2.7782,0.73177
FEN1,-0.61486,-0.70254,-0.60999,-0.6246,-0.67818,-0.64896,-0.63434,-0.57589,-0.28851,0.5639,1.6793,2.1226,1.012
KPNA2,-0.34051,-0.29077,-0.53117,-0.39025,-0.51459,-0.54775,-0.62236,-0.71355,-0.80473,0.0491,0.51332,2.4116,1.7816
ARL6IP1,-0.43124,-0.58327,-0.7258,-0.49775,-0.34572,-0.52626,-0.52626,-0.42174,-0.68779,-0.15568,0.69949,2.2293,1.9727
RRM2,-0.65192,-0.49718,-0.65634,-0.6475,-0.52813,-0.43529,-0.5016,-0.71381,-0.53255,0.32953,0.87772,1.6204,2.3366
CDK1,-0.67308,-0.46811,-0.38515,-0.59011,-0.50227,-0.32171,-0.54619,-0.65843,-0.66332,-0.13627,1.035,2.4892,1.4205
OCLN,-0.46487,-0.41075,-0.50996,-0.44683,-0.45585,-0.62722,-0.60918,-0.60016,-0.72644,0.094361,0.66261,2.5297,1.5646
CKS2,-0.63901,-0.37495,-0.62474,-0.34641,-0.53196,-0.53196,-0.58905,-0.59619,-0.73179,0.017567,0.85256,1.9445,2.1514
CCNB1,-0.48739,-0.41101,-0.41101,-0.39191,-0.45302,-0.5485,-0.39955,-0.37663,-0.41483,-0.23914,0.028203,1.1014,3.0034
UGT2B7,-0.62425,-0.54601,-0.015047,-0.11565,-0.55718,-0.47335,-0.42864,-0.67455,-0.69691,-0.26096,0.24205,1.4046,2.7459
ATF3,-0.44012,-0.35859,1.4349,1.3831,2.2205,0.086085,-0.60316,-0.77362,-0.78104,-0.53646,-0.44012,-0.55129,-0.64022
PPP4C,-0.73951,0.67215,1.101,1.6818,1.646,0.53814,-0.59655,-0.85566,-1.079,-0.87352,-0.66803,-0.69483,-0.13196
BRD3,-0.34093,0.50129,1.9528,2.341,-0.33496,-0.5261,-0.64557,-0.62765,-0.66349,-0.44845,-0.47832,-0.40067,-0.32899
T95837,-0.35887,-0.65737,1.9406,2.4602,-0.33676,-0.071434,-0.14882,-0.41415,-0.17093,-0.6242,-0.43626,-0.60209,-0.57998
FOS,-0.48244,-0.014861,1.5167,2.7906,-0.34244,-0.32005,-0.28085,-0.41804,-0.54683,-0.44324,-0.48524,-0.51324,-0.46004
EGR1,-0.48174,-0.16076,1.6627,2.5232,-0.48174,0.58366,-0.45443,-0.70712,-0.50223,-0.76175,-0.39979,-0.37247,-0.4476
NR4A2,-0.54477,-0.54111,0.81968,2.9743,0.18684,0.41364,-0.32163,-0.52282,-0.59598,-0.29968,-0.35089,-0.61793,-0.59964
CXCL2,-0.67585,-0.30038,-0.29287,0.43555,-0.16521,3.0563,0.32291,0.16521,0.0075094,-0.45057,-0.69838,-0.72091,-0.68336
GEM,-0.25588,-0.75545,-0.24369,1.2307,0.60924,2.5832,0.53613,-0.52394,-0.93822,-0.37773,-0.65797,-0.58487,-0.62142
R16980,-0.37423,-0.65718,-0.58416,-0.43812,0.94926,2.2362,1.5425,0.6298,-0.78497,-0.66631,-0.70282,-0.54765,-0.60242
ATP1B3,-0.60233,-0.54592,-1.0198,0.43569,-0.24128,2.2184,1.7784,0.68392,-0.61361,-0.45565,-0.45565,-0.65875,-0.52335
ZBTB21,-0.52106,-0.86595,-1.1695,-0.010612,1.8794,1.976,0.38947,0.80334,-0.27273,-0.47967,-0.64522,-0.72799,-0.35551
W72835,-0.54482,-0.33459,-0.50857,-0.74055,-0.7478,2.8117,1.2675,0.13662,-0.58832,-0.30559,-0.044612,0.093127,-0.49407
TNFAIP3,-0.41942,-0.44988,-0.47425,-0.41333,-0.37677,3.2054,0.51877,-0.13309,-0.13918,-0.18183,-0.34022,-0.26102,-0.53517
HIVEP2,-0.53426,-0.86148,-0.7137,-1.0831,-0.16483,1.7562,1.8301,1.429,0.056836,-0.36538,-0.37593,-0.61871,-0.35482
GFM2,-0.61461,-0.55989,-0.16586,-0.68028,-0.60367,1.5306,1.8699,1.4759,0.28289,-0.68028,-0.93202,-1.0086,0.085877
CCL2,-0.7795,-0.66109,-0.30586,-0.33078,-0.4492,1.5825,2.4114,0.72868,-0.0004794,-0.41803,-0.85429,-0.89168,-0.03164
FAM175B,-0.62073,-0.6481,-0.36342,-0.12254,-0.50576,0.24972,2.7899,1.3665,-0.18824,-0.46196,-0.50029,-0.70284,-0.29225
IL1B,-0.4896,-0.42629,-0.31456,-0.37415,-0.42629,0.29995,2.4563,1.9051,-0.41139,-0.50078,-0.57154,-0.59016,-0.55664
CXCL8,-0.57598,-0.50744,-0.51811,-0.46311,-0.36337,0.9755,2.9506,0.43289,-0.0091561,-0.3408,-0.50539,-0.5177,-0.55792
R25353,-0.96902,-1.1239,-0.35874,0.57945,-0.46804,2.7291,0.9438,0.26976,-0.3132,-0.4225,-0.59557,-0.26765,-0.0035033
ETS2,-0.58336,-0.5256,-0.20376,-0.055226,-0.1625,2.8578,1.0836,0.39039,-0.1295,-0.7319,-0.67414,-0.70715,-0.55861
ETS1,-0.8475,-0.60771,-1.0747,-0.34269,0.83099,2.1814,1.2475,0.70479,-0.36793,-0.89798,-0.69605,-0.65819,0.52811
