cell cycle process(GO:0022402);cell cycle(GO:0007049);cellular process involved in reproduction(GO:0048610);reproduction(GO:0000003);translation(GO:0006412);cellular component assembly(GO:0022607)
YKR066C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YLL027W;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
YLR263W;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE
YLR312C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YLR438W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YLR445W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YML042W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YML091C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YMR133W;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE
YMR147W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YMR148W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YMR198W;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE
YNL116W;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE
YNL196C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YOR100C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YOL131W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YOL104C;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE
YOR177C;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE
YOR350C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YOR351C;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE
YPL111W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YPL121C;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE
YPL208W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YPR007C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YAL038W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YBL072C;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
YBR005W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YBR031W;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
YBR181C;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
YCL064c;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YDL082w;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YDR011W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YDR012W;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
YDR382W;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
YDR417C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YDR418W;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
YDR471W;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
YEL054c;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YER020w;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YER056c-a;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YER074w;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YER102w;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YFR031BC;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YGL031C;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
YGL076C;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
YGR085C;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
YGR148C;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
YHL015W;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
YHR010W;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
YHR139C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YHR203C;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
YIL018W;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
YIL052C;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
YJL177W;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
YJR123W;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
YJR145C;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
YKL056C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YLL044W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YLL045c;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YLR058c;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YLR075w;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YLR076C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YLR134w;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YKR097W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YLR325C;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
YLR339C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YLR441C;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
YLR448W;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
YML063W;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
YMR242C;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
YMR316W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YNL069C;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
YNL096C;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
YNL098C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YNL119W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YNL178W;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
YNL301C;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
YOL010W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YOL016C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YOR096W;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
YOL120C;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
YOL039W;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
YOL040C;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
YPL079W;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
YPL081W;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
YPL090C;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
YPL131W;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
YPL198W;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
